header,t_ms,addr,heater_C,gas_ohm
SWEEP,50,10.000000,15,100.00
3806,0x77,320,7887.601562
3847,0x76,250,25000.000000
3847,0x77,250,25000.000000
3888,0x76,250,25000.000000
3888,0x77,250,23791.822266
3929,0x76,320,7738.814941
3929,0x77,320,8159.102539
3969,0x76,320,7829.704102
3969,0x77,320,8072.653809
4010,0x76,250,25000.000000
4010,0x77,250,25000.000000
4051,0x76,250,25000.000000
4051,0x77,250,24100.921875
4092,0x76,320,7722.007812
4092,0x77,320,8344.198242
4133,0x76,250,25000.000000
4133,0x77,250,23925.234375
4174,0x76,250,25000.000000
4174,0x77,250,24629.593750
4215,0x76,320,7812.500000
4215,0x77,320,8510.638672
4255,0x76,320,7761.338867
4255,0x77,320,8517.434570
4296,0x76,250,25000.000000
4296,0x77,250,24390.244141
4337,0x76,250,25000.000000
4337,0x77,250,25122.669922
4378,0x76,320,7806.782227
4378,0x77,320,8572.194336
4419,0x76,320,7705.273438
4419,0x77,320,8524.241211
4460,0x76,250,25000.000000
4460,0x77,250,24516.376953
4500,0x76,250,25000.000000
4500,0x77,250,25406.908203
4541,0x76,320,7699.711426
4541,0x77,320,8762.322266
ENDSWEEP,75
SWEEP,100,5.000000,15,100.00
4582,0x76,250,25000.000000
4582,0x77,250,25346.535156
4623,0x76,250,25000.000000
4623,0x77,250,26026.839844
4663,0x76,250,25000.000000
4663,0x77,250,26413.537109
4704,0x76,320,7705.273438
4704,0x77,320,9075.439453
4745,0x76,320,7688.611328
4745,0x77,320,8842.221680
4786,0x76,250,25000.000000
4786,0x77,250,25744.167969
4826,0x76,250,25000.000000
4826,0x77,250,26397.195312
4867,0x76,250,25000.000000
4867,0x77,250,27032.734375
4908,0x76,320,7761.338867
4908,0x77,320,9224.560547
4949,0x76,320,7755.695801
4949,0x77,320,9075.439453
4992,0x76,250,25000.000000
4992,0x77,250,25963.488281
5033,0x76,250,25000.000000
5033,0x77,250,26828.757812
5073,0x76,250,25000.000000
5073,0x77,250,27450.138672
5114,0x76,320,7683.073242
5114,0x77,320,9362.200195
5155,0x76,320,7666.506836
5155,0x77,320,9224.560547
5196,0x76,250,25000.000000
5196,0x77,250,26811.898438
5237,0x76,250,25000.000000
5237,0x77,250,27292.111328
5277,0x76,250,25000.000000
5277,0x77,250,28119.507812
5318,0x76,320,7744.433594
5318,0x77,320,9504.009766
